ticker,earnings_date,time_of_day,eps_estimated,eps_actual,surprise_pct,revenue_estimated,revenue_actual,revenue_surprise_pct,source
TSLA,2024-10-23,AMC,0.36,0.36,0.0,77025642081.0,81153554147.0,5.3591,fmp
TSLA,2025-01-29,AMC,0.75,0.93,24.0,13840068303.0,13608101286.0,-1.6761,fmp
TSLA,2025-04-22,AMC,0.78,0.92,17.9487,49959746432.0,51440467869.0,2.9638,fmp
TSLA,2025-07-22,AMC,0.6,0.6,0.0,71771219508.0,71099258885.0,-0.9363,fmp
TSLA,2025-10-21,AMC,0.48,0.51,6.25,16357700419.0,16854640730.0,3.038,fmp
TSLA,2026-01-27,AMC,0.83,0.89,7.2289,50998865785.0,53991874479.0,5.8688,fmp
TSM,2022-01-13,AMC,,,,,,,extrapolated
TSM,2022-04-12,AMC,,,,,,,extrapolated
TSM,2022-07-07,AMC,,,,,,,extrapolated
TSM,2022-10-11,AMC,,,,,,,extrapolated
TSM,2023-01-12,AMC,,,,,,,extrapolated
TSM,2023-04-19,AMC,,,,,,,extrapolated
TSM,2023-07-20,AMC,,,,,,,extrapolated
TSM,2023-10-19,AMC,,,,,,,extrapolated
TSM,2024-01-18,AMC,,,,,,,extrapolated
TSM,2024-04-18,AMC,,,,,,,extrapolated
TSM,2024-07-17,AMC,,,,,,,extrapolated
TSM,2024-10-17,AMC,,,,,,,extrapolated
TSM,2025-01-16,AMC,2.95,3.22,9.1525,14549980269.0,14246142295.0,-2.0882,fmp
TSM,2025-04-17,AMC,1.45,1.47,1.3793,55742833480.0,55249325398.0,-0.8853,fmp
TSM,2025-07-17,AMC,2.95,3.58,21.3559,16996551831.0,18360851102.0,8.0269,fmp
TSM,2025-10-16,AMC,1.98,1.72,-13.1313,49592709768.0,50389680470.0,1.607,fmp
TSM,2026-01-15,AMC,1.37,1.76,28.4672,50384272790.0,54078313991.0,7.3317,fmp
V,2022-01-12,AMC,,,,,,,extrapolated
V,2022-04-13,AMC,,,,,,,extrapolated
V,2022-07-13,AMC,,,,,,,extrapolated
V,2022-10-18,AMC,,,,,,,extrapolated
V,2023-01-25,AMC,,,,,,,extrapolated
V,2023-04-26,AMC,,,,,,,extrapolated
V,2023-07-26,AMC,,,,,,,extrapolated
V,2023-10-27,AMC,,,,,,,extrapolated
V,2024-01-26,AMC,,,,,,,extrapolated
V,2024-04-24,AMC,,,,,,,extrapolated
V,2024-07-24,AMC,,,,,,,extrapolated
V,2024-10-29,AMC,2.68,2.93,9.3284,26990242283.0,28502866539.0,5.6043,fmp
V,2025-01-30,AMC,3.05,3.69,20.9836,92771549226.0,99096175748.0,6.8174,fmp
V,2025-04-29,AMC,2.94,2.99,1.7007,45388201780.0,46826297760.0,3.1684,fmp
V,2025-07-29,AMC,2.97,2.79,-6.0606,11783934501.0,11488021268.0,-2.5112,fmp
V,2025-10-28,AMC,2.46,2.47,0.4065,32418005889.0,31401800238.0,-3.1347,fmp
V,2026-01-29,AMC,3.03,3.08,1.6502,52544856826.0,53809573850.0,2.4069,fmp
